s_adj,sex,age,unit,geo\time	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSA,T,Y_LT25,PC,LT	: 	: 	: 	: 	22.9 	27.2 	30.0 	31.1 	23.0 	24.8 	21.8 	15.8 	10.0 	8.4 	13.3 	29.6 	35.7 	32.6 	26.7 	21.9 	19.3 	16.6 
NSA,T,Y_LT25,PC,LU	7.1 	7.2 	8.2 	7.9 	6.9 	6.9 	6.6 	6.2 	7.0 	11.2 	16.4 	14.6 	15.5 i	15.6 	17.3 	16.5 	15.8 	16.4 	18.0 	16.9 	22.3 	14.0 
NSA,T,Y_LT25,PC,LV	: 	: 	: 	: 	: 	24.0 	22.4 	22.7 i	20.3 	19.6 	20.0 	15.1 	13.6 	10.6 	13.6 	33.3 	36.2 	31.0 	28.5 	23.2 	19.6 	: 
NSA,T,Y_LT25,PC,MT	: 	: 	: 	: 	: 	: 	13.7 	18.8 	17.1 	17.4 	16.5 	16.1 	15.5 	13.5 	11.7 	14.5 	13.2 	13.3 	14.1 	13.0 	11.7 	12.1 
NSA,T,Y_LT25,PC,NL	11.1 	16.8 	15.7 	12.4 	10.9 	9.4 	8.2 	6.7 	7.4 i	9.9 	11.4 	11.8 	10.0 	9.4 	8.6 	10.2 	11.1 	10.0 	11.7 	13.2 	12.7 	11.3 
NSA,T,Y_LT25,PC,PL	: 	: 	: 	23.2 	22.5 	30.1 	35.1 	39.5 	42.5 	41.9 	39.6 	36.9 	29.8 	21.6 	17.2 	20.6 i	23.7 	25.8 	26.5 	27.3 	23.9 	20.9 
NSA,T,Y_LT25,PC,PT	16.9 	18.3 	18.7 	17.2 i	14.1 e	12.8 e	12.5 e	13.4 e	15.6 e	18.6 e	19.7 e	20.8 e	21.2 e	21.4 e	21.6 e	25.3 e	28.2 e	30.2 	38.0 	38.1 	34.7 	32.0 
NSA,T,Y_LT25,PC,RO	: 	: 	: 	15.8 	15.4 	16.5 	16.5 	17.0 	19.8 	18.5 i	20.5 	19.1 	20.2 	19.3 	17.6 	20.0 	22.1 	23.9 	22.6 	23.7 	24.0 	21.4 
NSA,T,Y_LT25,PC,SE	22.0 	19.1 	20.5 	20.6 	16.1 	12.3 	10.5 i	15.0 b	16.4 	17.4 	20.4 	22.6 	21.5 	19.2 	20.2 	25.0 	24.8 	22.8 	23.7 	23.6 	22.9 	20.4 
NSA,T,Y_LT25,PC,SI	: 	: 	17.5 	17.2 	17.8 	17.6 	16.3 	17.8 	16.5 	17.3 	16.1 	15.9 	13.9 	10.1 	10.4 	13.6 	14.7 	15.7 	20.6 	21.6 	20.2 	15.7 
NSA,T,Y_LT25,PC,SK	: 	: 	: 	: 	25.5 	34.2 	37.3 	39.6 	38.1 	33.8 	33.4 	30.4 	27.0 	20.6 	19.3 	27.6 	33.9 	33.7 i	34.0 	33.7 	29.7 	26.4 
NSA,T,Y_LT25,PC,UK	16.4 	15.3 	14.9 	13.7 	13.1 	12.7 	12.2 	11.7 	12.0 	12.2 	12.0 	12.8 	13.9 	14.3 	15.0 	19.1 	19.9 	21.3 	21.2 	20.7 	16.9 	: 
